State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temparetue,Rainfall,Humidity,Sun hours
West Bengal,BARDHAMAN,2009,Autumn     ,Rice,17119,52128,22.1,341,81,8.1
West Bengal,BARDHAMAN,2009,Kharif     ,Dry ginger,128,226,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Kharif     ,Jute,12459,222721,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Kharif     ,Maize,147,254,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Kharif     ,Mesta,88,46,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Kharif     ,Soyabean,3,2,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Kharif     ,Sunflower,59,63,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Kharif     ,Urad,111,155,26.9,1189,80,8.2
West Bengal,BARDHAMAN,2009,Rabi       ,Gram,170,90,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Horse-gram,63,43,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Khesari,116,145,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Linseed,46,13,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Masoor,1041,863,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Peas & beans (Pulses),2,2,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Rapeseed &Mustard,46468,31031,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Safflower,20,13,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Urad,10,6,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Rabi       ,Wheat,4922,10115,20.3,171,66,9
West Bengal,BARDHAMAN,2009,Summer     ,Moong(Green Gram),11,4,32.6,223,57,9.7
West Bengal,BARDHAMAN,2009,Summer     ,Rice,200398,609379,32.6,223,57,9.7
West Bengal,BARDHAMAN,2009,Annual ,Coconut ,1270,20510.5,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Dry chillies,2375,3254,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Groundnut,1810,3619,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Potato,42413,1132542,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Sannhamp,103,734,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Sesamum,7748,6042,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Sugarcane,740,39469,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Annual ,Turmeric,230,463,25.71,1474,78.38,8.9
West Bengal,BARDHAMAN,2009,Winter     ,Rice,416657,1231421,19.1,46,63,9.1
West Bengal,BARDHAMAN,2010,Autumn     ,Rice,14641,44609,22.3,326,80,8.2
West Bengal,BARDHAMAN,2010,Kharif     ,Cotton(lint),10,26,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Dry ginger,148,279,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Jute,15368,282366,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Maize,282,523,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Mesta,1,10,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Moong(Green Gram),80,54,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Soyabean,18,13,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Sunflower,135,249,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Kharif     ,Urad,157,154,27.1,1183,80.2,8.3
West Bengal,BARDHAMAN,2010,Rabi       ,Arhar/Tur,24,19,21.3,165,63,9.1
West Bengal,BARDHAMAN,2010,Rabi       ,Gram,84,59,21.3,165,63,9.1
West Bengal,BARDHAMAN,2010,Rabi       ,Horse-gram,37,19,21.3,165,63,9.1
West Bengal,BARDHAMAN,2010,Rabi       ,Khesari,213,196,21.3,165,63,9.1
West Bengal,BARDHAMAN,2010,Rabi       ,Linseed,4,1,21.3,165,63,9.1
West Bengal,BARDHAMAN,2010,Rabi       ,Masoor,654,614,21.3,165,63,9.1
West Bengal,BARDHAMAN,2010,Rabi       ,Peas & beans (Pulses),15,3,21.3,165,63,9.1
